movie,rating,review_date,review_summary,review_detail,genre
"La La Land",8.5,"2016-12-25","Une comédie musicale enchanteresse","Un film magique qui célèbre l'amour et les rêves à Los Angeles. Sebastian et Mia poursuivent leurs passions dans cette ville où tout est possible.","Comédie,Musical,Romance"
"Inception",9.0,"2010-07-16","Un thriller intellectuel captivant","Dans un monde où la technologie permet d'entrer dans l'esprit humain, Dom Cobb est un voleur expérimenté dans l'art périlleux de l'extraction.","Science-fiction,Action,Thriller"
"Le Fabuleux Destin d'Amélie Poulain",8.3,"2001-04-25","Une comédie romantique poétique","Amélie, une jeune serveuse dans un café de Montmartre, décide d'améliorer la vie des gens qui l'entourent tout en découvrant l'amour.","Comédie,Romance"
"The Pursuit of Happyness",8.0,"2006-12-15","Une histoire vraie inspirante","Un père célibataire lutte contre l'adversité pour offrir une vie meilleure à son fils.","Drame,Biographie,Motivation"
"Inside Out",8.7,"2015-06-19","Une exploration émouvante des émotions","Une jeune fille guidée par ses émotions personnifiées fait face aux défis de la vie.","Animation,Famille,Aventure"
"The Intouchables",8.5,"2011-11-02","Une amitié improbable et touchante","L'histoire vraie d'une amitié inattendue entre un aristocrate tétraplégique et son aide-soignant des banlieues.","Comédie,Drame,Biographie"
"Forrest Gump",8.8,"1994-07-06","Une odyssée américaine inspirante","L'histoire extraordinaire d'un homme simple qui influence involontairement les grands événements de l'histoire américaine.","Drame,Romance,Comédie"
"The Shawshank Redemption",9.3,"1994-09-23","Un hymne à l'espoir","L'histoire d'une amitié profonde et de la persévérance face à l'injustice dans une prison.","Drame,Espoir"
"Schindler's List",8.9,"1993-12-15","Un témoignage historique poignant","L'histoire vraie d'un homme qui a sauvé plus de mille vies pendant l'Holocauste.","Drame,Histoire,Guerre"
"Life is Beautiful",8.6,"1997-12-20","Une fable sur l'amour paternel","Un père utilise son imagination pour protéger son fils des horreurs d'un camp de concentration.","Drame,Comédie,Guerre"
"The Lion King",8.5,"1994-06-15","Un chef-d'œuvre d'animation","L'histoire épique de Simba, un jeune lion qui doit surmonter de nombreuses épreuves pour devenir le roi de la savane.","Animation,Aventure,Drame"
"Up",8.2,"2009-05-29","Une aventure touchante","Un veuf part à l'aventure dans sa maison volante, accompagné d'un jeune scout.","Animation,Aventure,Comédie"
"The Notebook",7.8,"2004-06-25","Une histoire d'amour intemporelle","Un amour passionné traverse les années et les obstacles sociaux dans les années 1940.","Romance,Drame"
"Eternal Sunshine of the Spotless Mind",8.3,"2004-03-19","Une romance surréaliste","Un couple décide d'effacer leurs souvenirs l'un de l'autre après leur rupture.","Romance,Science-fiction,Drame"
"The Grand Budapest Hotel",8.1,"2014-03-07","Une comédie sophistiquée","Les aventures rocambolesques d'un concierge légendaire et de son protégé.","Comédie,Aventure"
"Spirited Away",8.6,"2001-07-20","Un voyage fantastique","Une jeune fille se retrouve dans un monde magique peuplé d'esprits.","Animation,Aventure,Fantaisie"
"Dead Poets Society",8.1,"1989-06-02","Une ode à la liberté de penser","Un professeur inspire ses élèves à travers la poésie et la pensée libre.","Drame,Inspiration"
"Good Will Hunting",8.3,"1997-12-05","Un génie en devenir","Un jeune génie des mathématiques découvre sa voie grâce à un psychologue.","Drame,Romance"
"The Theory of Everything",7.7,"2014-11-07","Un amour plus fort que tout","L'histoire de Stephen Hawking et de sa première femme, Jane.","Biographie,Drame,Romance"
"Wonder",8.0,"2017-11-17","Une leçon de tolérance","Un jeune garçon né avec une malformation faciale intègre une école ordinaire.","Drame,Famille"
"Big Hero 6",7.8,"2014-11-07","L'amitié homme-robot","Un jeune prodige en robotique et son robot soignant combattent le crime.","Animation,Action,Aventure"
"The Secret Life of Walter Mitty",7.3,"2013-12-25","Une quête d'aventure","Un homme ordinaire part dans une aventure extraordinaire.","Aventure,Comédie,Drame"
"Soul",8.1,"2020-12-25","Une réflexion sur le sens de la vie","Un musicien de jazz découvre ce qui fait l'essence de la vie.","Animation,Aventure,Comédie"
"The Truman Show",8.1,"1998-06-05","Une satire sociale profonde","Un homme découvre que sa vie entière est une émission de télé-réalité.","Comédie,Drame"
"Cast Away",7.8,"2000-12-22","La survie solitaire","Un cadre échoué sur une île déserte lutte pour sa survie.","Aventure,Drame"
"A Beautiful Mind",8.2,"2001-12-21","Le combat contre la maladie mentale","L'histoire vraie du mathématicien John Nash et sa lutte contre la schizophrénie.","Biographie,Drame"
"The Bucket List",7.4,"2007-12-25","Profiter de la vie","Deux malades en phase terminale décident de réaliser leurs derniers rêves.","Aventure,Comédie,Drame"
"The Help",8.1,"2011-08-10","La lutte pour l'égalité","Des femmes s'unissent pour dénoncer le racisme dans le Sud des États-Unis.","Drame,Histoire"
"Little Miss Sunshine",7.8,"2006-07-26","Un road trip familial","Une famille dysfonctionnelle traverse le pays pour un concours de beauté.","Comédie,Drame"
"The Terminal",7.4,"2004-06-18","L'attente devient aventure","Un homme vit dans un aéroport après avoir perdu sa citoyenneté.","Comédie,Drame,Romance" 